client_ip_addr,server_ip_addr,client_port,server_port,protocol,app,node,time,total_byte,total_packet,tcp_retransmisson_packet,tcp_segment_lost_packet,client_max_ack_delay,server_max_ack_delay,tcp_syn_packet,tcp_synack_packet,client_tcp_fin_packet,server_tcp_fin_packet,tcp_syn_ratio,client_tcp_fin_ratio,client_avg_ack_delay,server_avg_ack_delay,tcp_shakehands_total_count,connection_rst,connection_noresponse,tcp_shakehands_failed_count,slowconnect,tcp_transaction_no_response_count,tcp_transaction_total_count,tcp_transaction_worse_count,tcp_transaction_max_rtt,tcp_window_0,isabn,time_1,experts_99
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359426,5791,13,5,0,0.658259005,201.0934449,1,1,2,7,1,0.166666667,0.370411319,201.2036237,0,0,0,0,0,0,1,8,1.031572689,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359426,5329,13,5,0,0.246048473,200.9521726,1,1,2,6,1,0.166666667,0.825310153,201.0346223,0,0,0,0,0,0,1,4,1.172985562,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359428,5308,13,5,0,0.668381126,201.0992053,1,1,1,6,1,0.166666667,0.32099309,200.9265886,0,0,0,0,1,0,1,8,1.810809494,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359432,5638,13,5,0,0.161503432,200.6926138,1,1,1,6,1,0.166666667,0.22446787,200.6566287,0,0,0,0,1,0,1,5,1.30507794,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359437,5835,13,5,0,0.038339778,201.071787,1,1,1,6,1,0.166666667,0.045566108,201.0728557,0,0,0,0,1,0,1,10,1.400956373,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359435,5286,13,5,0,0.40448618,200.949866,1,1,2,7,1,0.166666667,0.826595836,201.2238533,0,0,0,0,0,0,1,8,1.238260248,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359444,5962,13,5,0,0.716165221,200.6514464,1,1,1,7,1,0.166666667,0.392643256,201.1144618,0,0,0,0,1,0,1,6,1.593028351,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359439,5923,13,5,0,0.578509671,200.9644271,1,1,1,7,1,0.166666667,0.843119408,200.8896784,0,0,0,0,1,0,1,3,1.491325,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359441,5959,13,5,0,0.114906556,200.832071,1,1,2,6,1,0.166666667,0.361833537,200.6471818,0,0,0,0,1,0,1,1,1.700605217,0,,2020/5/2 2:57,0
106.48.51.135,83.41.146.110,45850,80,HTTP,,,1588359452,5967,13,5,0,0.911268853,201.326065,1,1,1,6,1,0.166666667,0.329088628,200.6565325,0,0,0,0,0,0,1,3,1.58330903,0,,2020/5/2 2:57,0
