client_ip_addr,server_ip_addr,client_port,server_port,protocol,time,total_byte,total_packet,client_max_ack_delay,server_max_ack_delay,client_avg_ack_delay,server_avg_ack_delay,tcp_transaction_max_rtt,connection_rst,tcp_shakehands_failed_count,tcp_window_0,forest
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716120,921,5,0.785874403,0.8618236509999999,0.568211337,1.803130927,2.566138346,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716133,1280,5,0.977256008,1.079200846,0.39775104,1.283155044,2.302374729,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716126,1523,5,0.946220316,1.337208744,0.420763137,1.098276273,2.704532997,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716134,626,5,0.417175555,0.918860519,0.780807076,0.86213036,2.428806317,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716142,1197,5,0.022093949,1.203382395,0.565714763,0.869739623,2.986131391,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716143,1346,5,0.014678673,1.136570912,0.85455477,1.26055573,2.436341347,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716140,1112,5,0.0481176,1.660255234,0.590703505,1.164651993,2.9143118830000003,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716150,1158,5,0.536826523,1.071040321,0.486358805,1.796186157,3.1478179610000003,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716154,780,5,0.693808277,1.338834928,0.451607125,1.32542187,2.652906403,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716152,1303,5,0.236359983,1.489238588,0.195333984,1.7476725780000002,2.363699198,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716152,1500,5,0.512313511,1.65583881,0.138220969,1.7410216630000002,3.070673845,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716161,746,5,0.140303109,1.526813189,0.272035742,1.598344907,2.636933856,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716158,644,5,0.524443691,1.768951875,0.820700555,1.183629973,3.104099133,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716167,1416,5,0.08599856,1.199455069,0.881686745,1.363037546,3.02939897,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716166,965,5,0.171464022,1.289558405,0.034155369,1.827181395,3.124244576,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716169,869,5,0.395360282,1.107800522,0.372221813,1.0323718590000002,2.643681117,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716178,1550,5,0.891853535,1.807760827,0.871181359,1.235223248,2.515548676,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716177,676,5,0.093630597,1.4262337,0.10087567,1.644064992,2.883835462,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716183,1529,5,0.791012259,1.6372224990000002,0.231622887,1.01019083,2.539004718,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716184,1140,5,0.251113767,1.246376104,0.652765786,1.462155484,2.385268012,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716184,1051,5,0.8618015179999999,1.272648344,0.325635424,1.571124596,3.202344613,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716187,1406,5,0.066802655,0.905201649,0.927895353,1.714478977,3.124304187,0,0,0,-1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716196,1450,5,0.833452375,1.298927687,0.418190536,1.633505016,3.193697182,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716197,596,5,0.6895579070000001,1.01248595,0.954381394,1.803358619,3.202839257,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716202,1410,5,0.445590127,1.221573381,0.307326106,1.221284971,3.129577266,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716205,1038,5,0.7922962090000001,0.924795982,0.71959391,1.256473628,3.111065528,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716198,1254,5,0.116742207,1.824737599,0.583152624,1.817031,2.441499365,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716205,790,5,0.299112077,1.59527679,0.667878193,1.1753139,2.815291664,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716205,954,5,0.963305961,1.608631247,0.616757545,1.79454453,2.522471962,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716209,806,5,0.769815625,1.534663471,0.5900965539999999,1.014400595,3.083541213,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716211,662,5,0.909374556,1.218600436,0.753133505,0.951710845,2.35228877,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716215,1219,5,0.313482317,1.126396145,0.586965451,1.5114936469999998,2.473812344,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716220,556,5,0.538997399,1.254757603,0.243135359,1.000597109,2.795270662,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716225,986,5,0.61432017,1.661242509,0.8531368429999999,1.76878753,2.810651114,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716232,1532,5,0.095542503,0.943194261,0.58750216,1.811343347,2.76205638,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716231,1169,5,0.357709561,1.604739194,0.794378081,1.358236492,2.644897457,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716229,780,5,0.8280692390000001,0.986641658,0.707191852,1.109546121,2.7093254,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716241,838,5,0.401175802,1.122794853,0.39653005,1.004046243,2.5410067780000003,0,0,0,1
73.1.7.49,83.21.97.62,59950,37679,HTTP,1587716241,1508,5,0.15683346,0.879800802,0.672840195,1.286471993,2.290921004,0,0,0,1
